Prediction
54.25
158.1
52.7
82.1
63.3
164.55
99.45
92.05
58.9
99.8
191.05
87.0
117.8
108.55
185.75
51.5
63.9
51.0
39.9
153.2
76.1
53.45
40.8
41.55
134.7
75.25
96.35
70.2
55.8
122.0
115.55
76.45
59.15
69.45
51.35
131.55
153.9
156.85
57.45
71.9
61.25
152.2
57.5
57.05
43.8
65.1
48.7
64.3
64.3
52.0
62.95
196.85
86.95
59.05
61.85
272.7
53.75
211.0
54.0
59.55
40.3
46.5
45.05
35.7
76.4
54.9
69.45
96.9
51.3
85.15
91.15
42.4
93.85
44.3
68.55
59.15
293.7
72.45
139.0
59.4
56.65
145.7
57.15
76.95
46.9
141.5
52.9
66.55
212.85
103.5
57.05
104.2
43.05
98.7
120.9
73.35
61.8
45.55
42.55
165.45
86.2
76.95
413.45
99.15
80.2
106.6
54.05
63.25
173.75
49.7
57.35
77.4
84.0
78.2
52.05
107.8
59.65
267.25
73.25
287.8
43.8
58.4
83.15
47.0
53.6
138.25
67.35
59.05
50.65
192.05
38.95
55.0
89.3
44.95
64.5
145.6
85.7
56.6
91.4
190.6
59.8
107.25
114.85
59.95
152.75
64.15
56.8
77.45
127.8
122.1
94.8
287.8
84.9
270.7
69.35
139.75
48.5
47.7
113.3
142.3
52.05
90.3
54.4
54.9
164.1
64.2
84.5
102.1
127.7
297.5
67.05
49.5
61.05
50.75
56.9
51.7
53.15
126.55
51.75
51.85
107.95
87.05
42.25
66.05
58.95
174.0
56.0
60.45
92.45
36.6
184.05
97.25
183.15
41.9
86.05
123.65
130.2
162.95
58.85
62.3
68.3
59.55
65.35
126.0
146.5
134.3
131.15
94.95
204.65
123.8
93.85
67.6
51.15
56.35
54.75
52.5
210.35
328.95
55.6
113.45
173.4
241.8
223.05
68.75
112.1
44.95
45.0
61.15
73.25
45.65
43.1
184.6
75.2
66.95
297.45
109.75
48.8
167.65
89.3
125.4
133.25
52.0
67.85
48.7
109.65
55.4
81.95
45.4
41.05
122.0
84.0
97.0
52.5
45.35
123.25
62.7
58.2
43.2
136.0
54.35
79.1
111.0
118.25
58.9
138.65
331.65
60.5
83.55
176.7
57.9
165.1
64.95
83.5
91.85
59.2
97.7
68.85
122.35
110.95
53.85
101.85
63.7
113.3
64.5
75.5
173.95
61.15
66.95
82.05
83.35
392.1
67.7
153.5
56.55
193.0
125.45
148.25
73.85
50.05
150.9
41.8
62.4
58.5
56.8
52.0
61.4
61.95
50.0
80.2
50.0
55.35
56.1
65.3
115.5
77.6
139.8
43.9
76.5
137.25
118.45
56.55
68.3
73.3
134.4
114.8
65.85
113.05
49.85
73.4
110.35
51.95
91.4
80.25
59.25
170.15
105.05
57.75
94.45
55.05
423.85
60.65
108.8
167.1
55.3
173.35
273.1
130.6
122.0
120.45
142.75
533.2
53.0
459.0
57.05
124.85
41.95
74.8
88.05
151.25
116.5
40.2
43.2
64.0
96.75
70.0
74.4
117.0
91.1
96.25
47.45
51.7
53.35
121.2
68.1
62.05
97.75
43.15
64.25
57.4
45.4
64.5
218.1
170.85
202.95
33.4
99.7
67.75
207.45
43.25
56.15
54.05
73.2
136.25
181.65
110.15
176.1
105.45
47.65
90.2
55.25
190.55
56.85
96.85
79.15
41.4
91.35
97.35
100.05
78.1
116.85
59.5
60.25
130.1
136.25
61.5
62.55
85.7
49.9
132.8
85.0
127.5
88.0
55.35
157.35
50.0
47.95
61.95
245.9
97.95
107.8
44.4
51.3
112.95
54.95
57.8
121.75
57.2
41.35
77.25
71.3
148.4
104.55
109.7
178.35
99.45
257.45
69.6
110.95
50.65
39.25
111.5
69.05
80.4
91.6
78.35
52.15
95.25
116.55
82.25
75.3
73.9
52.6
45.45
62.75
119.05
55.1
170.8
60.1
61.05
81.8
60.0
57.05
50.9
71.35
44.25
48.35
69.15
107.85
144.2
89.0
56.65
64.95
77.55
57.45
96.5
47.5
49.2
246.1
66.4
112.85
157.25
68.55
92.45
115.95
38.05
49.75
50.75
54.05
105.2
45.35
55.25
62.6
214.6
57.65
58.55
152.85
93.4
54.95
46.45
86.55
77.7
53.45
51.75
135.55
46.9
36.1
59.1
46.55
89.65
110.65
69.85
158.75
71.2
98.0
38.25
53.1
80.75
67.7
194.05
108.1
68.25
97.45
156.35
100.55
56.3
184.35
76.7
56.0
245.65
134.7
205.4
97.65
45.8
51.05
180.3
52.35
98.1
53.15
51.65
99.6
97.2
48.2
54.5
50.2
48.2
55.35
54.3
70.05
44.3
55.9
76.3
212.9
67.15
222.2
76.5
52.0
61.25
49.9
114.9
93.55
53.05
53.35
66.1
220.85
56.1
61.95
172.85
52.8
53.95
55.1
41.6
115.15
58.2
49.45
90.25
106.75
130.05
122.85
104.2
83.5
44.0
55.3
120.0
127.05
84.0
235.35
44.5
52.15
45.1
226.7
48.85
105.7
108.35
50.3
45.25
216.25
194.35
164.25
169.3
42.0
133.15
223.3
47.1
95.7
56.35
57.5
170.5
99.2
59.1
54.15
66.25
59.4
55.15
264.3
140.75
132.5
56.6
189.1
53.3
174.45
158.3
125.2
140.05
66.65
62.15
102.45
90.6
85.15
139.05
71.95
35.35
97.7
47.4
181.5
60.2
98.65
58.1
66.75
108.25
58.3
48.9
70.95
57.85
46.2
64.3
74.0
74.75
44.75
240.65
156.85
126.8
121.2
59.25
34.85
53.4
196.7
46.9
49.3
53.3
61.1
120.2
59.2
61.35
49.3
155.85
68.25
33.6
70.4
158.8
181.1
51.9
43.45
157.85
110.35
166.25
105.25
74.55
56.45
184.55
49.95
35.3
77.65
44.95
53.35
81.3
59.8
381.8
54.8
58.75
45.15
151.75
61.0
195.5
67.85
100.45
71.45
65.0
45.15
201.6
266.1
101.1
169.25
199.25
179.0
142.9
60.35
112.1
57.7
36.05
64.65
147.05
48.95
86.65
186.25
51.6
93.9
85.6
65.8
81.95
46.8
62.2
45.4
51.55
140.55
72.55
63.25
84.15
215.65
77.75
144.25
67.3
70.75
219.75
66.95
260.95
51.55
91.95
68.8
65.75
124.0
126.0
79.5
140.3
41.45
51.9
48.35
36.75
69.65
46.95
58.35
51.55
54.05
56.2
56.9
180.9
52.95
63.5
37.55
69.65
110.65
52.8
30.8
84.2
75.8
214.8
59.2
56.15
138.75
92.95
55.4
48.4
43.7
79.95
110.25
70.15
98.8
90.55
60.4
187.05
111.05
76.45
76.35
59.65
48.15
72.6
52.0
49.15
51.75
69.85
281.9
78.4
67.05
54.4
69.55
131.05
79.95
197.2
56.9
143.4
58.0
48.95
145.75
57.0
76.5
118.85
83.45
188.15
56.35
44.05
161.75
65.0
54.45
235.8
111.35
96.35
156.15
71.9
90.55
154.25
57.3
54.3
62.0
54.35
56.35
150.3
76.75
83.25
54.8
192.35
102.6
119.05
65.65
53.0
45.75
61.25
46.75
66.4
45.1
54.0
272.35
61.35
251.2
63.5
53.1
76.0
71.4
67.8
124.3
46.2
37.75
